Accessibility,Customer_Support,Security,Perceived_Usefulness,Perceived_Ease_of_Use,Subjective_Norm,Perceived_Behavioral_Control,Behavioral_Intention,Cluster,Label
4.0,3.0,3.5,4.0,4.0,1.3333333333333333,3.25,1.3333333333333333,2,BI-Low
3.6666666666666665,3.0,3.0,3.3333333333333335,3.5,2.6666666666666665,3.0,3.0,1,BI-High
3.6666666666666665,3.0,3.75,4.0,4.0,4.0,3.75,4.0,1,BI-High
4.0,3.3333333333333335,3.25,4.0,4.0,1.3333333333333333,3.25,4.0,1,BI-High
3.6666666666666665,3.0,3.25,4.0,4.0,1.3333333333333333,3.75,3.6666666666666665,1,BI-High
3.0,3.6666666666666665,3.75,3.6666666666666665,3.75,4.0,4.0,3.3333333333333335,1,BI-High
4.0,2.6666666666666665,4.0,4.0,4.0,2.0,3.25,1.6666666666666667,2,BI-Low
4.0,4.0,4.0,3.6666666666666665,4.0,3.3333333333333335,3.75,4.0,1,BI-High
3.3333333333333335,3.3333333333333335,3.75,3.0,3.25,3.3333333333333335,3.5,3.0,1,BI-High
4.0,4.0,4.0,3.6666666666666665,4.0,3.0,4.0,3.6666666666666665,1,BI-High
3.3333333333333335,3.0,2.75,2.6666666666666665,3.75,2.6666666666666665,4.0,3.0,1,BI-High
4.0,3.3333333333333335,3.75,4.0,4.0,3.3333333333333335,3.75,4.0,1,BI-High
4.0,3.3333333333333335,3.75,4.0,4.0,3.6666666666666665,3.75,3.3333333333333335,1,BI-High
4.0,4.0,3.5,4.0,4.0,4.0,3.5,4.0,1,BI-High
4.0,3.3333333333333335,4.0,3.6666666666666665,3.75,2.0,3.25,3.6666666666666665,1,BI-High
3.0,3.3333333333333335,3.75,3.0,3.25,3.0,2.5,4.0,1,BI-High
4.0,3.6666666666666665,3.75,4.0,4.0,3.6666666666666665,3.0,4.0,1,BI-High
3.3333333333333335,3.0,3.5,3.6666666666666665,3.5,3.3333333333333335,4.0,4.0,1,BI-High
2.6666666666666665,2.6666666666666665,2.25,2.3333333333333335,2.75,2.6666666666666665,2.5,2.3333333333333335,0,BI-Moderate
4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,1,BI-High
